dataset,file_name,target,run_name,case,repeat,total,concurrency,ok,fail,biz_reject_or_error,elapsed_sec,rps,effective_ok,effective_rps,success_rate_pct,fail_rate_pct,biz_reject_rate_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,std_ms,reject_codes
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run1_5000x20_r1,5000x20,1,5000,20,5000,0,0,39.166,127.66,5000,127.66,100.0,0.0,0.0,156.41,156.97,238.73,254.49,283.57,333.93,62.65,{}
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run2_10000x50_r1,10000x50,1,10000,50,9950,50,0,129.978,76.55,9950,76.55,99.5,0.5,0.0,648.98,324.04,638.59,680.4,753.83,58772.81,4108.17,{}
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run3_12000x80_r1,12000x80,1,12000,80,12000,0,0,102.859,116.66,12000,116.66,100.0,0.0,0.0,683.56,655.09,934.51,976.55,1041.24,1135.17,183.75,{}
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run1_5000x20_r2,5000x20,2,5000,20,5000,0,0,36.472,137.09,5000,137.09,100.0,0.0,0.0,145.76,153.11,202.73,215.79,241.5,286.25,47.54,{}
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run2_10000x50_r2,10000x50,2,10000,50,10000,0,0,73.692,135.7,10000,135.7,100.0,0.0,0.0,367.76,339.54,577.69,617.64,690.57,790.96,151.06,{}
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run3_12000x80_r2,12000x80,2,12000,80,12000,0,0,95.33,125.88,12000,125.88,100.0,0.0,0.0,633.85,615.15,924.34,983.71,1087.73,1276.92,202.85,{}
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run1_5000x20_r3,5000x20,3,5000,20,5000,0,0,28.187,177.39,5000,177.39,100.0,0.0,0.0,112.53,105.95,168.24,186.82,216.99,253.18,39.81,{}
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run2_10000x50_r3,10000x50,3,10000,50,10000,0,0,55.314,180.79,10000,180.79,100.0,0.0,0.0,275.89,262.98,439.5,484.12,538.36,606.74,113.64,{}
result_gateway_20260308_171258,result_gateway_20260308_171258.json,gateway,run3_12000x80_r3,12000x80,3,12000,80,12000,0,0,107.78,111.34,12000,111.34,100.0,0.0,0.0,717.01,509.9,994.05,1337.7,5286.08,7491.57,857.94,{}
