dataset,file_name,target,run_name,case,repeat,total,concurrency,ok,fail,biz_reject_or_error,elapsed_sec,rps,effective_ok,effective_rps,success_rate_pct,fail_rate_pct,biz_reject_rate_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,std_ms,reject_codes
result_core_20260308_170139,result_core_20260308_170139.json,core,run1_5000x20_r1,5000x20,1,5000,20,5000,0,0,36.495,137.0,5000,137.0,100.0,0.0,0.0,145.75,132.81,219.36,246.42,384.83,585.9,61.31,{}
result_core_20260308_170139,result_core_20260308_170139.json,core,run2_10000x50_r1,10000x50,1,10000,50,10000,0,0,78.605,127.22,10000,127.22,100.0,0.0,0.0,392.55,386.89,559.6,607.81,684.6,794.75,124.97,{}
result_core_20260308_170139,result_core_20260308_170139.json,core,run3_12000x80_r1,12000x80,1,12000,80,12000,0,0,75.768,158.38,12000,158.38,100.0,0.0,0.0,503.79,457.51,799.36,892.65,1046.84,1242.74,195.27,{}
result_core_20260308_170139,result_core_20260308_170139.json,core,run1_5000x20_r2,5000x20,2,5000,20,5000,0,0,26.735,187.02,5000,187.02,100.0,0.0,0.0,106.58,93.46,180.63,214.77,263.94,305.91,49.39,{}
result_core_20260308_170139,result_core_20260308_170139.json,core,run2_10000x50_r2,10000x50,2,10000,50,10000,0,0,127.967,78.15,10000,78.15,100.0,0.0,0.0,637.69,608.3,1093.23,1160.98,1258.05,1406.27,321.65,{}
result_core_20260308_170139,result_core_20260308_170139.json,core,run3_12000x80_r2,12000x80,2,12000,80,12000,0,0,145.018,82.75,12000,82.75,100.0,0.0,0.0,965.35,822.98,1113.23,1859.71,6101.34,8937.37,893.37,{}
result_core_20260308_170139,result_core_20260308_170139.json,core,run1_5000x20_r3,5000x20,3,5000,20,5000,0,0,41.141,121.53,5000,121.53,100.0,0.0,0.0,164.13,159.81,248.09,265.99,296.93,341.16,61.62,{}
result_core_20260308_170139,result_core_20260308_170139.json,core,run2_10000x50_r3,10000x50,3,10000,50,10000,0,0,77.432,129.15,10000,129.15,100.0,0.0,0.0,386.77,381.43,551.76,595.94,657.18,774.58,119.63,{}
result_core_20260308_170139,result_core_20260308_170139.json,core,run3_12000x80_r3,12000x80,3,12000,80,12000,0,0,70.681,169.78,12000,169.78,100.0,0.0,0.0,470.39,402.46,697.73,756.54,881.88,2651.59,233.18,{}
