dataset,file_name,target,run_name,total,concurrency,ok,fail,biz_reject_or_error,elapsed_sec,rps,effective_ok,effective_rps,success_rate_pct,fail_rate_pct,biz_reject_rate_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms,std_ms,reject_codes
result_core_rerun_20260303,result_core_rerun_20260303.json,core,run1_5000x20,5000,20,5000,0,0,99.361,50.32,5000,50.32,100.0,0.0,0.0,397.0,382.66,494.46,545.03,676.29,1388.12,1471.23,94.84,{}
result_core_rerun_20260303,result_core_rerun_20260303.json,core,run2_10000x50,10000,50,10000,0,0,172.155,58.09,10000,58.09,100.0,0.0,0.0,859.6,862.72,1058.45,1121.53,1293.82,1483.74,1710.36,170.67,{}
result_core_rerun_20260303,result_core_rerun_20260303.json,core,run3_12000x80,12000,80,12000,0,0,233.797,51.33,12000,51.33,100.0,0.0,0.0,1555.66,1581.38,1802.35,1851.03,1935.72,2121.7,2519.67,211.78,{}
result_gateway_rerun_20260303,result_gateway_rerun_20260303.json,gateway,run1_2000x20,2000,20,2000,0,0,39.715,50.36,2000,50.36,100.0,0.0,0.0,395.69,396.57,513.88,560.32,618.86,689.92,732.49,94.47,{}
result_gateway_rerun_20260303,result_gateway_rerun_20260303.json,gateway,run2_5000x50,5000,50,5000,0,0,83.067,60.19,5000,60.19,100.0,0.0,0.0,826.82,723.13,1289.32,1376.79,1529.6,1683.95,1908.55,341.05,{}
result_gateway_rerun_20260303,result_gateway_rerun_20260303.json,gateway,run3_8000x80,8000,80,8000,0,0,149.393,53.55,8000,53.55,100.0,0.0,0.0,1488.99,1469.15,2000.95,2116.32,2308.52,2591.08,3053.3,376.13,{}
