dataset,file_name,target,run_name,total,concurrency,ok,fail,biz_reject_or_error,elapsed_sec,rps,effective_ok,effective_rps,success_rate_pct,fail_rate_pct,biz_reject_rate_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms,std_ms,reject_codes
result_core,result_core.json,core,run1_5000x20,5000,20,5000,0,0,17.655,283.21,5000,283.21,100.0,0.0,0.0,70.5,69.46,92.02,99.58,116.1,138.57,156.26,16.64,{}
result_core,result_core.json,core,run2_10000x50,10000,50,10000,0,0,35.566,281.17,10000,281.17,100.0,0.0,0.0,177.53,174.89,208.54,218.89,242.92,281.27,303.95,23.46,{}
result_core,result_core.json,core,run3_12000x80,12000,80,1554,10446,0,22.676,68.53,1554,68.53,12.95,87.05,0.0,150.61,140.85,249.69,270.99,344.05,400.24,427.82,61.07,{}
result_gateway,result_gateway.json,gateway,run1_2000x20,2000,20,1157,843,1157,2.402,481.68,0,0.0,57.85,42.15,100.0,23.94,23.88,36.07,40.88,49.57,60.59,84.41,10.09,"{""error_BAD_REQUEST"": 1157}"
result_gateway,result_gateway.json,gateway,run2_5000x50,5000,50,2432,2568,2432,5.315,457.6,0,0.0,48.64,51.36,100.0,52.73,53.1,76.92,85.17,122.98,287.29,327.7,26.79,"{""error_BAD_REQUEST"": 2145, ""reject_1002"": 287}"
result_gateway,result_gateway.json,gateway,run3_8000x80,8000,80,2329,5671,2329,10.467,222.5,0,0.0,29.11,70.89,100.0,103.98,98.55,134.84,151.58,211.78,878.49,1106.89,50.68,"{""reject_1002"": 2113, ""error_BAD_REQUEST"": 216}"
